trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.8557011495569,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999750002083326}",25,0,-137.16392983849488,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9999000033332889}",25,12,-102.09622684875475,"{0: 5, 1: 2, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9997750168744938}",20,0,-118.52414341998947,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.999600053330489}",25,0,-73.54972456559122,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9993751301974831}",20,0,-131.1530531032069,"{0: 9, 1: 2, 2: 5, 3: 4, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9991002699676022}",35,0,-247.3974557009737,"{0: 16, 1: 4, 2: 10, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9987755001266398}",20,0,-49.98295354052406,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9984008531513098}",20,0,-95.34751132269948,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9979763665059971}",30,0,-214.67075951005103,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.9975020826390129}",25,0,-109.3485606814057,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9969780489783484}",20,0,-114.16113774530533,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.9964043179269331}",25,0,-111.66447297950755,"{0: 11, 1: 5, 2: 8, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.995780946857394}",20,0,-92.24556713789411,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9951079981063186}",30,0,-100.10259827104925,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9943855389680212}",20,0,-161.2244234777232,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9936136416878134}",20,0,-108.48375912523535,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9927923834547804}",25,13,-29.49357186241618,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9919218463940607}",20,0,-90.15724053090436,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9910021175586352}",25,0,-123.51553440352747,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9900332889206208}",20,0,-96.55488441462364,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9890154573620742}",20,0,-24.127023118998064,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9879487246653027}",20,0,-175.2221141729415,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9868331975026874}",20,0,-92.98188192552895,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9856689874260148}",20,0,-62.04307793474843,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9844562108553223}",25,0,-164.59482553007896,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9831949890672567}",30,0,-183.79779903158104,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9818854481829453}",25,0,-189.2206904646157,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9805277191553854}",20,0,-110.34835615212907,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9791219377563486}",20,0,-21.558883368741153,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.977668244562803}",30,0,-130.69456881731082,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9761667849428567}",20,0,-76.85239597093015,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9746177090412205}",20,0,-103.05326974804086,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9730211717641934}",30,0,-87.52387743225025,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.971377332764173}",30,0,-118.90722297101041,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9696863564236895}",20,0,-171.5384164564417,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9679484118389674}",20,8,-12.799835024801851,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.9661636728030172}",20,0,-70.38286826983692,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9643323177882551}",30,12,-122.60466513674525,"{0: 8, 1: 0, 2: 8, 3: 1, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.9624545299286565}",25,0,-124.66674778227383,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9605304970014426}",30,0,-140.19830715772287,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9585604114083026}",20,0,-58.61022968103927,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9565444701561541}",25,0,-72.42987257178505,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9544828748374425}",30,0,-166.88036049181568,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.9523758316099817}",25,0,-44.444429001928654,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9502235511763384}",20,0,-97.81536468289484,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9480262487627626}",20,0,-82.27949138615892,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9457841440976644}",20,0,-65.43818544269632,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9434974613896421}",20,0,-77.59016896642851,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9411664293050608}",20,0,-112.58663365363671,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9387912809451864}",20,0,-123.7641830758083,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9363722538228756}",30,8,-81.38648101486505,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.933909589838825}",20,0,-40.92031926946688,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9314035352573805}",25,0,-62.46765532921664,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9288543406819121}",25,0,-63.186679242932435,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9262622610297528}",25,0,-68.44955545256937,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.923627555506708}",20,0,-35.539921706528595,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9209504875811343}",25,4,-113.89929707992266,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.9182313249575935}",20,0,-95.36029379573003,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9154703395500818}",35,0,-106.51957604622534,"{0: 23, 1: 4, 2: 6, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9126678074548391}",20,0,-88.92380786049503,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
