trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,-34,-273.5056850419377,"{0: 46, 1: 6, 2: 8, 3: 6, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,-100,-500.93170815000224,"{0: 77, 1: 17, 2: 19, 3: 7, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,13,5.962116437305243,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,-28,-151.24330310689518,"{0: 33, 1: 1, 2: 11, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,-4,-76.19515183996543,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,18,-44.824757578400316,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,2,-100.07652788575992,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,-100,-341.1236153191112,"{0: 93, 1: 5, 2: 19, 3: 2, 4: 6}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,8,-24.408125813475525,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,11,0.8448649868785374,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,-100,-250.14127569573182,"{0: 110, 1: 2, 2: 16, 3: 1, 4: 6}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-29,-66.63396823806448,"{0: 46, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,-2,-106.08685833155953,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,10,2.053147761109261,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,-17,58.77448270973402,"{0: 40, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,-56,152.6261677409796,"{0: 85, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,17,-14.823178118594603,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,9,25.830334684879237,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,8,51.81893535622406,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,29.48719426520717,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,13,22.388357324990995,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,21,19.79964523331122,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,-100,236.24975402720236,"{0: 125, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,-100,216.60408663366712,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,-100,237.62798181604393,"{0: 125, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,7,37.26169049394412,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,-100,239.74976320612583,"{0: 125, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,11,21.132273791493198,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,20,18.55847427496145,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,9,21.018561518409484,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
