trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.970873786407767}",20,0,-125.32257636021578,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.9425959091337544}",20,2,-99.64667761892868,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 1}",1
3,False,"{'a': 0.7, 'e': 0.9151416593531595}",20,0,-51.4312184059627,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.8884870479156888}",20,0,-240.49172458882722,"{0: 7, 1: 2, 2: 6, 3: 1, 4: 4}",0
5,False,"{'a': 0.7, 'e': 0.8626087843841639}",20,0,-47.49586221244094,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.8374842566836542}",20,8,-55.13116576062001,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.7, 'e': 0.8130915113433536}",25,0,-181.18799398542689,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.7, 'e': 0.7894092343139355}",20,0,-99.85844105646368,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.7664167323436267}",25,0,-58.94464128670715,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.7440939148967249}",20,0,-57.34270606197116,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.7224212765987621}",30,0,-136.92751031323502,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.7, 'e': 0.7013798801929729}",20,0,-47.453971966339985,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.6809513399931776}",30,0,-49.21957912900588,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.661117805818619}",20,0,-52.90541579679156,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.6418619473967174}",20,0,-66.81737364193002,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.623166939220114}",35,8,-129.71243345106276,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 3}",1
17,False,"{'a': 0.7, 'e': 0.6050164458447709}",20,4,-65.27440778648607,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.7, 'e': 0.5873946076162824}",20,3,-24.074164837294,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.5702860268119246}",20,0,-37.17750484367804,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.7, 'e': 0.5536757541863346}",20,11,-74.18183768607555,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 2}",1
21,False,"{'a': 0.7, 'e': 0.5375492759090628}",25,0,-98.44108064117106,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
22,False,"{'a': 0.7, 'e': 0.5218925008825852}",20,0,-52.42337615614595,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.7, 'e': 0.5066917484296943}",20,0,-25.570081538057305,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.7, 'e': 0.49193373633950904}",20,0,-42.14716962428297,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
