trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-637.1671828712254,"{0: 69, 1: 18, 2: 19, 3: 5, 4: 9}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-73,-345.98867078950605,"{0: 58, 1: 10, 2: 18, 3: 4, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-100,-737.5888039606425,"{0: 67, 1: 10, 2: 28, 3: 5, 4: 10}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-19,-101.72221671560989,"{0: 26, 1: 4, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-100,-531.1216478890195,"{0: 79, 1: 11, 2: 26, 3: 2, 4: 7}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-21,-340.5566501779228,"{0: 23, 1: 3, 2: 12, 3: 4, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,-100,-690.9080176503647,"{0: 82, 1: 13, 2: 23, 3: 9, 4: 8}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,-100,-834.3691583046128,"{0: 76, 1: 10, 2: 23, 3: 9, 4: 12}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-25,-275.18323673016863,"{0: 27, 1: 5, 2: 5, 3: 4, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-100,-592.9922153701413,"{0: 73, 1: 13, 2: 26, 3: 7, 4: 6}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-17,-150.2203498953809,"{0: 26, 1: 2, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-100,-531.8021554325481,"{0: 76, 1: 6, 2: 28, 3: 3, 4: 7}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,2,-48.076425374701415,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,11,-21.600304629305423,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,-65,-362.34054277045635,"{0: 56, 1: 5, 2: 17, 3: 2, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-6,-148.66097060207233,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-364.1085995709703,"{0: 78, 1: 15, 2: 21, 3: 3, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-98,-462.75952948376795,"{0: 77, 1: 11, 2: 27, 3: 3, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,1,-25.402813740996102,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,-56,-524.4607195883083,"{0: 44, 1: 8, 2: 17, 3: 5, 4: 7}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,-100,-691.8072973268013,"{0: 68, 1: 4, 2: 34, 3: 6, 4: 8}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,-100,-895.141244247198,"{0: 62, 1: 18, 2: 21, 3: 4, 4: 15}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,-100,-947.4831979999044,"{0: 65, 1: 14, 2: 27, 3: 3, 4: 16}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,-100,-384.3313502548769,"{0: 78, 1: 12, 2: 20, 3: 8, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,-100,-575.8713441401138,"{0: 71, 1: 5, 2: 33, 3: 6, 4: 5}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,-100,-625.3461679823029,"{0: 72, 1: 8, 2: 29, 3: 2, 4: 9}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,-91,-796.9110648856358,"{0: 60, 1: 10, 2: 28, 3: 9, 4: 9}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,-69,-312.52741912763554,"{0: 64, 1: 7, 2: 17, 3: 2, 4: 4}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,-30,-365.1077619329072,"{0: 30, 1: 10, 2: 7, 3: 2, 4: 6}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,-100,-661.6682153769897,"{0: 65, 1: 16, 2: 26, 3: 5, 4: 8}",0
